fecha,provincia,temperatura_med,temperatura_max,direccion_viento,velocidad_med_viento,racha_viento,año,ZONA_PROYECTO
2023-07-15,MÁLAGA,28.5,32.6,15,2.5,7.2,2023,Málaga
2023-07-16,MÁLAGA,29.8,33.5,33,2.2,7.5,2023,Málaga
2023-07-17,MÁLAGA,27.4,30.0,24,1.9,5.3,2023,Málaga
2023-07-18,MÁLAGA,28.5,31.1,4,2.5,7.8,2023,Málaga
2023-07-19,MÁLAGA,30.9,36.4,16,2.5,8.3,2023,Málaga
2023-07-20,MÁLAGA,31.4,36.1,2,2.5,8.6,2023,Málaga
2023-07-21,MÁLAGA,30.1,36.0,27,4.7,14.7,2023,Málaga
2023-07-22,MÁLAGA,27.2,30.9,21,2.2,8.3,2023,Málaga
2023-07-23,MÁLAGA,27.2,29.7,14,1.4,5.0,2023,Málaga
2023-07-24,MÁLAGA,31.4,38.9,1,4.4,12.2,2023,Málaga
2023-07-25,MÁLAGA,28.8,34.2,26,4.4,13.1,2023,Málaga
2023-07-26,MÁLAGA,25.8,30.1,20,2.5,8.3,2023,Málaga
2023-07-27,MÁLAGA,24.9,28.8,18,1.7,4.2,2023,Málaga
2023-07-28,MÁLAGA,23.2,25.9,14,1.4,8.3,2023,Málaga
2023-07-29,MÁLAGA,26.4,30.8,2,1.4,4.2,2023,Málaga
2023-07-30,MÁLAGA,25.0,27.9,16,1.7,5.8,2023,Málaga
2023-07-31,MÁLAGA,28.2,32.7,3,1.4,6.9,2023,Málaga
2024-07-15,MÁLAGA,29.0,36.5,28,3.6,11.7,2024,Málaga
2024-07-16,MÁLAGA,28.4,34.1,30,3.3,8.1,2024,Málaga
2024-07-17,MÁLAGA,25.6,28.2,21,1.7,4.2,2024,Málaga
2024-07-18,MÁLAGA,26.0,27.9,20,1.7,6.1,2024,Málaga
2024-07-19,MÁLAGA,26.6,28.3,35,1.4,4.2,2024,Málaga
2024-07-20,MÁLAGA,28.8,34.7,16,2.2,5.8,2024,Málaga
2024-07-21,MÁLAGA,31.4,38.6,15,4.2,13.6,2024,Málaga
2024-07-22,MÁLAGA,25.8,28.7,16,1.7,10.8,2024,Málaga
2024-07-23,MÁLAGA,26.8,29.7,26,2.2,4.7,2024,Málaga
2024-07-24,MÁLAGA,26.6,28.8,4,1.4,4.7,2024,Málaga
2024-07-25,MÁLAGA,26.2,29.3,15,1.9,5.8,2024,Málaga
2024-07-26,MÁLAGA,25.3,27.8,21,1.7,7.8,2024,Málaga
2024-07-27,MÁLAGA,26.0,28.2,23,1.7,4.7,2024,Málaga
2024-07-28,MÁLAGA,26.5,28.3,28,1.7,11.1,2024,Málaga
2024-07-29,MÁLAGA,27.6,29.9,28,3.3,17.5,2024,Málaga
2024-07-30,MÁLAGA,28.2,31.0,13,2.8,6.7,2024,Málaga
